Individual,Species,Dominant_Period,cf_wavelet,Treatment
PWM242_NL3,Myrmica_punctiventris,59.87240666,2.588444494,No_larvae
PWM242_NL4,Myrmica_punctiventris,18.42789474,3.328217492,No_larvae
PWM242_NL5,Myrmica_punctiventris,42.33618475,2.551259028,No_larvae
PWM242_NL6,Myrmica_punctiventris,29.93620333,2.458366567,No_larvae
PWM242_NL7,Myrmica_punctiventris,9.213947371,2.056510743,No_larvae
PWM242_NL8,Myrmica_punctiventris,13.96573267,3.004941578,No_larvae
PWM242_NL9,Myrmica_punctiventris,27.93146535,2.489879002,No_larvae
PWM242_NL10,Myrmica_punctiventris,9.875264278,2.427944041,No_larvae
PWT2401_L1,Temnothorax_curvispinosus,27.93146535,2.527833987,Larvae
PWT2401_L2,Temnothorax_curvispinosus,52.12195734,2.540531437,Larvae
PWT2401_L3,Temnothorax_curvispinosus,27.93146535,2.497799396,Larvae
PWT2401_L4,Temnothorax_curvispinosus,22.68739966,2.308169531,Larvae
PWT2401_L5,Temnothorax_curvispinosus,13.96573267,2.425530418,Larvae
PWT2401_L6,Temnothorax_curvispinosus,13.03048934,2.334837385,Larvae
PWT2401_L7,Temnothorax_curvispinosus,29.93620333,2.415447469,Larvae
PWT2401_L8,Temnothorax_curvispinosus,32.0848283,2.738936807,Larvae
PWT2401_L9,Temnothorax_curvispinosus,34.38766752,2.445073532,Larvae
PWT2401_L10,Temnothorax_curvispinosus,34.38766752,2.979105977,Larvae
PWT2401_L11,Temnothorax_curvispinosus,16.04241415,2.207896304,Larvae
PWT2401_L12,Temnothorax_curvispinosus,11.34369983,2.307238214,Larvae
PWT2401_L13,Temnothorax_curvispinosus,26.06097867,2.500821013,Larvae
PWT2401_L14,Temnothorax_curvispinosus,13.96573267,2.493789784,Larvae
PWT2401_L15,Temnothorax_curvispinosus,11.34369983,2.644578445,Larvae
PWT2401_L16,Temnothorax_curvispinosus,34.38766752,2.129508934,Larvae
PWT2401_L17,Temnothorax_curvispinosus,64.16965659,2.658069274,Larvae
PWT2401_L18,Temnothorax_curvispinosus,52.12195734,2.71584438,Larvae
PWT2401_L19,Temnothorax_curvispinosus,39.50105711,2.497312064,Larvae
PWT2401_L20,Temnothorax_curvispinosus,13.96573267,2.295422378,Larvae
PWT2401_NL1,Temnothorax_curvispinosus,22.68739966,2.83365471,No_larvae
PWT2401_NL2,Temnothorax_curvispinosus,32.0848283,2.76274946,No_larvae
PWT2401_NL3,Temnothorax_curvispinosus,64.16965659,2.538496428,No_larvae
PWT2401_NL4,Temnothorax_curvispinosus,16.04241415,2.8932293,No_larvae
PWT2401_NL5,Temnothorax_curvispinosus,24.31575289,2.696891827,No_larvae
PWT2401_NL6,Temnothorax_curvispinosus,13.03048934,2.584110941,No_larvae
PWT2401_NL7,Temnothorax_curvispinosus,79.00211422,2.538046919,No_larvae
PWT2401_NL8,Temnothorax_curvispinosus,18.42789474,2.947315251,No_larvae
PWT2401_NL9,Temnothorax_curvispinosus,26.06097867,2.563257265,No_larvae
PWT2401_NL10,Temnothorax_curvispinosus,17.19383376,2.323999646,No_larvae
PWT2401_NL11,Temnothorax_curvispinosus,18.42789474,2.901085995,No_larvae
PWT2401_NL12,Temnothorax_curvispinosus,27.93146535,2.43228284,No_larvae
PWT2401_NL13,Temnothorax_curvispinosus,29.93620333,2.733237577,No_larvae
PWT2401_NL14,Temnothorax_curvispinosus,12.15787645,2.434304613,No_larvae
PWT2401_NL15,Temnothorax_curvispinosus,10.58404619,2.442529327,No_larvae
PWT2401_NL16,Temnothorax_curvispinosus,34.38766752,2.370441278,No_larvae
PWT2401_NL17,Temnothorax_curvispinosus,17.19383376,2.440833259,No_larvae
PWT2401_NL18,Temnothorax_curvispinosus,97.26301157,2.027636464,No_larvae
PWT2401_NL19,Temnothorax_curvispinosus,36.85578948,2.662999868,No_larvae
PWT2401_NL20,Temnothorax_curvispinosus,52.12195734,2.531298458,No_larvae
RNL2401_L1,Leptothorax_AF-can,24.31575289,2.741258445,Larvae
RNL2401_L2,Leptothorax_AF-can,39.50105711,3.393033206,Larvae
RNL2401_L3,Leptothorax_AF-can,12.15787645,2.416157228,Larvae
RNL2401_L4,Leptothorax_AF-can,45.37479932,3.18451509,Larvae
RNL2401_L5,Leptothorax_AF-can,59.87240666,2.585899689,Larvae
RNL2401_L6,Leptothorax_AF-can,22.68739966,2.582950066,Larvae
RNL2401_L7,Leptothorax_AF-can,16.04241415,2.73398515,Larvae
RNL2401_L8,Leptothorax_AF-can,55.86293069,2.651636809,Larvae
RNL2401_L9,Leptothorax_AF-can,45.37479932,3.165472432,Larvae
RNL2401_L10,Leptothorax_AF-can,32.0848283,3.373311172,Larvae
RNL2401_L11,Leptothorax_AF-can,26.06097867,3.372388745,Larvae
RNL2401_L12,Leptothorax_AF-can,13.03048934,3.032534373,Larvae
RNL2401_L13,Leptothorax_AF-can,24.31575289,2.914259618,Larvae
RNL2401_L14,Leptothorax_AF-can,21.16809238,2.673488435,Larvae
RNL2401_L15,Leptothorax_AF-can,34.38766752,2.083442055,Larvae
RNL2401_L16,Leptothorax_AF-can,48.63150578,2.45149897,Larvae
RNL2401_L17,Leptothorax_AF-can,19.75052856,2.254405365,Larvae
RNL2401_L18,Leptothorax_AF-can,13.96573267,2.903806864,Larvae
RNL2401_L19,Leptothorax_AF-can,42.33618475,2.932732077,Larvae
RNL2401_L20,Leptothorax_AF-can,13.96573267,2.809137136,Larvae
RNL2401_NL1,Leptothorax_AF-can,42.33618475,2.406688669,No_larvae
RNL2401_NL2,Leptothorax_AF-can,36.85578948,3.40961401,No_larvae
RNL2401_NL3,Leptothorax_AF-can,36.85578948,3.110440663,No_larvae
RNL2401_NL4,Leptothorax_AF-can,36.85578948,2.58365146,No_larvae
RNL2401_NL5,Leptothorax_AF-can,16.04241415,2.396477585,No_larvae
RNL2401_NL6,Leptothorax_AF-can,14.96810166,2.472315968,No_larvae
RNL2401_NL7,Leptothorax_AF-can,16.04241415,3.05005881,No_larvae
RNL2401_NL8,Leptothorax_AF-can,59.87240666,3.255928432,No_larvae
RNL2401_NL9,Leptothorax_AF-can,27.93146535,2.549948135,No_larvae
RNL2401_NL10,Leptothorax_AF-can,17.19383376,2.38483987,No_larvae
RNL2401_NL11,Leptothorax_AF-can,73.71157897,2.407437405,No_larvae
RNL2401_NL12,Leptothorax_AF-can,52.12195734,3.231386756,No_larvae
RNL2401_NL13,Leptothorax_AF-can,55.86293069,2.572435875,No_larvae
RNL2401_NL14,Leptothorax_AF-can,24.31575289,2.729469701,No_larvae
RNL2401_NL15,Leptothorax_AF-can,22.68739966,2.446685325,No_larvae
RNL2401_NL16,Leptothorax_AF-can,32.0848283,3.126876012,No_larvae
RNL2401_NL17,Leptothorax_AF-can,52.12195734,2.702249615,No_larvae
RNL2401_NL18,Leptothorax_AF-can,79.00211422,3.009399384,No_larvae
RNL2401_NL19,Leptothorax_AF-can,22.68739966,3.047366606,No_larvae
RNL2401_NL20,Leptothorax_AF-can,32.0848283,3.108604943,No_larvae
RNL2404_L1,Leptothorax_AF-erg,27.93146535,2.845092375,Larvae
RNL2404_L2,Leptothorax_AF-erg,26.06097867,2.370946438,Larvae
RNL2404_L3,Leptothorax_AF-erg,16.04241415,2.616162372,Larvae
RNL2404_L4,Leptothorax_AF-erg,26.06097867,2.99781678,Larvae
RNL2404_L5,Leptothorax_AF-erg,32.0848283,2.700563227,Larvae
RNL2404_L6,Leptothorax_AF-erg,18.42789474,2.943181041,Larvae
RNL2404_L7,Leptothorax_AF-erg,18.42789474,2.283669356,Larvae
RNL2404_L8,Leptothorax_AF-erg,29.93620333,2.444721498,Larvae
RNL2404_L9,Leptothorax_AF-erg,16.04241415,2.778074712,Larvae
RNL2404_L10,Leptothorax_AF-erg,55.86293069,2.706981443,Larvae
RNL2404_NL1,Leptothorax_AF-erg,42.33618475,2.642871225,No_larvae
RNL2404_NL2,Leptothorax_AF-erg,16.04241415,2.639283396,No_larvae
RNL2404_NL3,Leptothorax_AF-erg,21.16809238,2.430544392,No_larvae
RNL2404_NL4,Leptothorax_AF-erg,26.06097867,2.80047044,No_larvae
RNL2404_NL5,Leptothorax_AF-erg,8.59691688,2.457079032,No_larvae
RNL2404_NL6,Leptothorax_AF-erg,36.85578948,2.172248608,No_larvae
RNL2404_NL7,Leptothorax_AF-erg,19.75052856,2.698228971,No_larvae
RNL2404_NL8,Leptothorax_AF-erg,27.93146535,2.650214797,No_larvae
RNL2404_NL9,Leptothorax_AF-erg,18.42789474,2.411609429,No_larvae
RNL2404_NL10,Leptothorax_AF-erg,59.87240666,2.529600909,No_larvae
